ID,EMPRESA_JUNIOR,FED,CLUSTER,FATURAMENTO,PORCENTAGEM_MEMBROS,N_PROJETOS,ACOES_COMPARTILHADAS,PARTICIPACAO,NPS,PROJETOS_IMPACTO
232,Trópicos Empresa Júnior,Piauí Júnior,1,8200,75,11,1,80,1,1
594,Projetos Jr. Consultoria,FEJEPE,2,30000,63,20,1,50,60,12
242,Projet,FEJEMG,4,99200,100,32,2,90,39,16
243,Projecta - Arquitetura e Urbanismo UFBA,UNIJr-BA,2,35500,80,60,3,57,80,48
466,Ayra Consultoria,RioJunior,4,173194.2,80,70,2,33,35,25
468,Consultoria e Inovação Mecânica - CIM,FEMTEJ,1,0,0,0,0,0,0,0
276,CIMATEC  jr,UNIJr-BA,3,80000,75,45,4,40,1,3
267,ESA JR,UNIJr-BA,2,27000,85,30,4,60,33,10
371,XPORT Jr. Consultoria e Suporte Internacional,RioJunior,1,10000,27,20,1,33,1,1
285,AgroPlan-UFV,FEJEMG,1,7000,80,15,3,80,85,13
359,Agronômica: Consultoria e Projetos Agropecuários,FEJECE,2,16800,70,27,1,75,32,9
307,COPLAF,FEJEPAR,2,33671.4,75,20,2,80,50,10
1167,Publicae Consultoria Jr,Concentro,1,30000,60,6,2,50,50,3
512,Elabora Conteúdo Criativo,PB Júnior,4,60000,100,52,6,80,35,19
858,O2 Consultoria Ambiental Júnior,Concentro,1,8000,60,10,2,35,50,5
24,EngeFour Jr.,FEJEMS,2,70000,70,50,5,45,50,25
240,Mais Consultoria,FEJEMG,5,236662,85,40,5,75,76,31
510,Fácil Consultoria,FEMTEJ,S/N,0,0,0,0,0,0,0
286,Solucione Jr. - Consultoria e Projetos de Engenharia ,UNIJr-BA,2,29500,55,29,3,50,7,5
356,Datum Engenharia Jr.,UNIJr-BA,3,25200,100,20,6,100,90,18
277,Fórmula Consultoria - Empresa  Júnior Faculdade de Farmácia UFRJ,RioJunior,2,26500,85,58,1,33,54,32
145,Dinâmica Engenharia Júnior,FEJESP,1,15000,27,6,1,33,1,1
454,Consenso,FEJEMG,2,21000,73,20,2,75,60,12
313,CONSEQ,FEJEPAR,4,70000,75,30,4,80,90,27
493,UFMG Consultoria Júnior,FEJEMG,5,277501.9,75,116,6,57,70,82
903,Actions Consultoria Junior,FEJEPAR,1,5000,75,6,1,80,35,3
303,EQ Júnior - Consultoria e Projetos,FEJESP,2,24200,64,13,1,80,1,3
429,CETA Jr. ,RioJunior,4,65000,65,60,5,50,60,36
295,LIFE Jr. Laboratório de Inovações,UNIJr-BA,2,41952.64,66,45,1,44,6,3
911,UP Foods - Empresa Júnior de Engenharia de Alimentos,FEJEPAR,1,6000,58,7,1,60,51,4
