"EMPRESA,FED,""PROJETOS"""
"MecTRIA,""FEJEMG"",""1"""
"MecTRIA,""FEJEMG"",""0"""
"MecTRIA,""FEJEMG"",""1"""
"Ínteri Júnior - Associação Empresa Junior de Relações Internacionais - UFGD,""FEJEMS"",""0"""
"Ínteri Júnior - Associação Empresa Junior de Relações Internacionais - UFGD,""FEJEMS"",""3"""
"Ínteri Júnior - Associação Empresa Junior de Relações Internacionais - UFGD,""FEJEMS"",""0"""
"Ínteri Júnior - Associação Empresa Junior de Relações Internacionais - UFGD,""FEJEMS"",""0"""
"EMEC - Engenharia Júnior,""FEJEA"",""0"""
"EMEC - Engenharia Júnior,""FEJEA"",""0"""
"EMEC - Engenharia Júnior,""FEJEA"",""0"""
"EMEC - Engenharia Júnior,""FEJEA"",""4"""
"Granbery Consultoria,""FEJEMG"",""0"""
"Granbery Consultoria,""FEJEMG"",""0"""
"Granbery Consultoria,""FEJEMG"",""0"""
"Granbery Consultoria,""FEJEMG"",""0"""
"Hórus Júnior - Assessoria Contábil,""FEJERS"",""0"""
"Hórus Júnior - Assessoria Contábil,""FEJERS"",""0"""
"Hórus Júnior - Assessoria Contábil,""FEJERS"",""0"""
"Hórus Júnior - Assessoria Contábil,""FEJERS"",""0"""
"Empresa Júnior Unicap,""FEJEPE"",""0"""
"Empresa Júnior Unicap,""FEJEPE"",""2"""
"Empresa Júnior Unicap,""FEJEPE"",""6"""
"Empresa Júnior Unicap,""FEJEPE"",""0"""
"Expand Jr. - Consultoria Internacional,""RioJunior"",""0"""
"Expand Jr. - Consultoria Internacional,""RioJunior"",""3"""
"Expand Jr. - Consultoria Internacional,""RioJunior"",""0"""
"Expand Jr. - Consultoria Internacional,""RioJunior"",""1"""
"Vetor Jr. ,""FEJEA"",""0"""
"Vetor Jr. ,""FEJEA"",""0"""
"Vetor Jr. ,""FEJEA"",""1"""
"Vetor Jr. ,""FEJEA"",""0"""
"Dipolum Consultoria,""FEJEPE"",""0"""
"Dipolum Consultoria,""FEJEPE"",""0"""
"Dipolum Consultoria,""FEJEPE"",""0"""
"Dipolum Consultoria,""FEJEPE"",""0"""
"Inov ID - Empresa Jr,""Goiás Júnior"",""0"""
"Inov ID - Empresa Jr,""Goiás Júnior"",""0"""
